trade_id,entry_date,exit_date,direction,units,entry_price,exit_price,pnl,return_pct,close_reason,holding_days
0,2025-07-02,2025-07-03,-1,46,543.731375,552.770467,-415.7982,-0.016624,close_sl,1
1,2025-07-07,2025-07-17,-1,75,551.058667,560.385174,-699.488,-0.016925,close_sl,8
2,2025-07-28,2025-07-31,-1,27,565.215373,571.345688,-165.5185,-0.010846,close_sl,3
3,2025-08-01,2025-08-01,-1,45,556.34506,551.746099,206.9532,0.008266,close_tp,0
4,2025-08-04,2025-08-05,-1,57,556.564081,563.824952,-413.8697,-0.013046,close_sl,1
5,2025-08-06,2025-08-07,1,39,559.45348,567.269928,304.8415,0.013972,close_tp,1
6,2025-08-08,2025-08-12,-1,27,567.913437,577.093896,-247.8724,-0.016165,close_sl,2
7,2025-08-13,2025-08-19,-1,98,580.168693,570.980815,900.412,0.015837,close_tp,4
8,2025-08-20,2025-09-04,1,50,566.652131,572.672102,300.9986,0.010624,close_horizon,10
9,2025-09-05,2025-09-15,-1,36,577.908741,587.403222,-341.8013,-0.016429,close_sl,6
10,2025-09-16,2025-09-22,-1,43,589.974809,599.079073,-391.4833,-0.015432,close_sl,4
11,2025-09-23,2025-09-24,-1,66,600.386662,594.077124,416.4295,0.010509,close_tp,1
12,2025-09-25,2025-09-29,-1,24,590.250184,597.795411,-181.0854,-0.012783,close_sl,2
13,2025-09-30,2025-10-02,-1,37,596.45966,603.206866,-249.6466,-0.011312,close_sl,2
14,2025-10-03,2025-10-08,-1,87,604.513083,610.133757,-488.9987,-0.009298,close_sl,3
15,2025-10-09,2025-10-10,-1,73,609.466659,603.392405,443.4205,0.009967,close_tp,1
16,2025-10-13,2025-10-20,1,23,598.602738,610.04942,263.2737,0.019122,close_tp,5
17,2025-10-23,2025-10-27,1,18,603.82334,616.97672,236.7609,0.021783,close_tp,2
18,2025-10-28,2025-11-06,-1,17,628.284519,613.624974,249.2123,0.023333,close_tp,7
19,2025-11-07,2025-11-20,-1,10,606.307112,589.683131,166.2398,0.027418,close_tp,9
20,2025-11-21,2025-11-24,-1,7,585.535701,601.353477,-110.7244,-0.027014,close_sl,1
21,2025-11-25,2025-12-02,-1,6,601.522962,618.45059,-101.5658,-0.028141,close_sl,4
22,2025-12-03,2025-12-17,-1,17,617.579838,601.254403,277.5324,0.026435,close_tp,10
23,2025-12-18,2025-12-23,-1,20,607.79218,621.808307,-280.3225,-0.023061,close_sl,3
24,2025-12-24,2026-01-02,-1,18,620.740823,610.398556,186.1608,0.016661,close_tp,5
25,2026-01-05,2026-01-13,-1,24,618.076168,628.847983,-258.5235,-0.017428,close_sl,6
26,2026-01-14,2026-01-20,-1,36,620.990298,611.747967,332.7239,0.014883,close_tp,3
27,2026-01-21,2026-01-21,-1,23,608.245897,618.322294,-231.7571,-0.016566,close_sl,0
28,2026-01-22,2026-01-28,1,18,622.03241,631.441364,169.3612,0.015126,close_tp,4
29,2026-01-29,2026-01-29,-1,37,631.379416,621.493271,365.7874,0.015658,close_tp,0
30,2026-01-30,2026-02-03,-1,44,624.453352,614.52735,436.7441,0.015896,close_tp,2
31,2026-02-04,2026-02-04,-1,26,613.784844,602.887527,283.3303,0.017754,close_tp,0
32,2026-02-05,2026-02-09,-1,37,599.004596,611.17814,-450.4211,-0.020323,close_sl,2
33,2026-02-10,2026-02-12,1,17,614.996044,600.684149,-243.3022,-0.023272,close_sl,2
